amount_players;round_result;MO;bank;timee;wkday;coeff
24.0;71.93;1.87;71.93;1716218407.35;1;1.03
25.0;44.97;1.868;161.28;1716218436.0;1;3.0
24.0;116.12;1.871;136.79;1716218452.44;1;1.15
23.0;80.11;1.869;178.61;1716218469.88;1;1.29
26.0;152.92;1.868;197.19;1716218492.95;1;1.87
23.0;-145.49;1.868;108.34;1716218527.73;1;3.0
21.0;134.74;1.871;136.62;1716218543.1;1;1.04
24.0;-127.65;1.868;405.73;1716218576.85;1;3.0
24.0;-193.95;1.871;252.14;1716218605.51;1;2.94
21.0;51.54;1.874;51.54;1716218619.86;1;1.0
24.0;-15.43;1.872;64.38;1716218644.44;1;2.16
25.0;77.06;1.873;80.36;1716218658.84;1;1.02
23.0;18.97;1.87;192.9;1716218684.94;1;2.4
23.0;150.39;1.872;150.39;1716218700.33;1;1.03
25.0;-2380.55;1.869;1187.03;1716218748.8;1;3.0
25.0;174.39;1.872;208.54;1716218766.77;1;1.39
25.0;-157.86;1.871;349.93;1716218793.43;1;2.55
22.0;68.7;1.873;68.7;1716218807.8;1;1.0
23.0;344.5;1.871;348.59;1716218824.21;1;1.1
24.0;82.76;1.869;152.93;1716218839.66;1;1.09
21.0;-221.09;1.867;473.85;1716218879.44;1;3.0
24.0;105.52;1.869;115.71;1716218894.86;1;1.1
23.0;11.56;1.868;110.56;1716218925.04;1;3.0
23.0;5.33;1.87;97.95;1716218952.14;1;2.67
25.0;175.68;1.873;288.57;1716218970.13;1;1.31
25.0;82.85;1.871;98.03;1716218988.59;1;1.33
24.0;101.68;1.87;102.24;1716219003.49;1;1.07
21.0;-200.73;1.868;118.51;1716219038.73;1;3.0
21.0;-141.92;1.871;93.09;1716219083.13;1;3.0
19.0;-27.41;1.873;161.52;1716219111.22;1;2.89
22.0;187.22;1.876;188.64;1716219126.62;1;1.06
24.0;155.54;1.874;155.54;1716219141.01;1;1.0
23.0;119.03;1.872;120.97;1716219156.42;1;1.04
23.0;86.69;1.87;86.69;1716219170.79;1;1.0
21.0;62.9;1.867;62.9;1716219185.74;1;1.0
22.0;-166.19;1.865;186.59;1716219234.2;1;3.0
25.0;50.81;1.868;125.29;1716219258.82;1;2.24
21.0;-68.75;1.869;249.37;1716219290.51;1;3.0
21.0;50.12;1.872;251.67;1716219308.47;1;1.32
21.0;19.22;1.87;60.91;1716219328.46;1;1.56
23.0;3.3;1.87;257.7;1716219348.94;1;1.65
24.0;216.33;1.869;233.38;1716219365.88;1;1.19
24.0;86.99;1.867;89.11;1716219381.29;1;1.04
23.0;243.62;1.865;243.62;1716219396.18;1;1.03
22.0;103.46;1.863;103.46;1716219410.65;1;1.0
21.0;35.78;1.861;58.12;1716219433.67;1;1.86
25.0;274.86;1.861;274.86;1716219448.08;1;1.01
24.0;39.57;1.859;58.12;1716219467.09;1;1.43
22.0;-57.27;1.858;165.99;1716219498.3;1;3.0
22.0;26.88;1.861;205.75;1716219518.31;1;1.57
24.0;78.76;1.86;78.76;1716219532.7;1;1.01
23.0;136.08;1.858;157.58;1716219553.31;1;1.56
22.0;-52.46;1.857;55.42;1716219609.93;1;3.0
21.0;-237.17;1.86;444.33;1716219644.74;1;3.0
24.0;272.78;1.863;312.42;1716219673.39;1;2.94
24.0;-128.21;1.865;86.98;1716219726.97;1;3.0
22.0;119.04;1.868;119.04;1716219741.85;1;1.0
22.0;25.23;1.866;68.54;1716219765.9;1;2.08
25.0;134.27;1.867;138.59;1716219781.32;1;1.05
23.0;232.02;1.865;246.39;1716219799.28;1;1.3
23.0;-353.8;1.863;282.21;1716219845.7;1;3.0
23.0;58.91;1.866;58.91;1716219859.56;1;1.0
22.0;-183.39;1.864;117.98;1716219896.82;1;3.0
21.0;301.39;1.867;301.39;1716219911.68;1;1.0
23.0;-22.1;1.865;42.65;1716219946.91;1;3.0
23.0;221.92;1.867;438.43;1716219967.9;1;1.76
23.0;57.81;1.867;59.79;1716219983.31;1;1.04
21.0;80.35;1.865;149.18;1716220004.87;1;1.72
23.0;-204.56;1.865;231.74;1716220042.67;1;3.0
23.0;160.31;1.867;160.99;1716220058.06;1;1.09
24.0;-4.78;1.866;60.51;1716220084.19;1;2.51
21.0;109.89;1.867;109.89;1716220098.55;1;1.0
24.0;-54.58;1.865;183.82;1716220132.89;1;3.0
21.0;99.24;1.868;99.24;1716220147.77;1;1.0
23.0;143.2;1.866;175.45;1716220169.88;1;1.73
22.0;3.73;1.865;195.02;1716220194.99;1;2.44
22.0;-40.86;1.867;45.24;1716220226.26;1;3.0
21.0;-179.05;1.869;253.05;1716220273.16;1;3.0
22.0;28.54;1.872;120.15;1716220307.39;1;3.0
21.0;39.01;1.874;188.34;1716220325.37;1;1.3
22.0;382.3;1.873;385.33;1716220341.79;1;1.18
25.0;96.84;1.871;109.42;1716220358.21;1;1.1
22.0;108.96;1.87;139.02;1716220379.74;1;1.73
20.0;8.52;1.869;58.61;1716220401.74;1;1.91
21.0;-43.2;1.869;44.78;1716220445.1;1;3.0
23.0;-27.62;1.872;49.1;1716220474.88;1;3.0
23.0;77.75;1.874;83.13;1716220490.28;1;1.05
22.0;128.95;1.873;129.74;1716220505.16;1;1.05
22.0;7.12;1.871;76.66;1716220530.23;1;2.29
24.0;148.67;1.872;495.74;1716220553.9;1;2.0
21.0;4.48;1.872;52.06;1716220577.46;1;2.17
22.0;-13.21;1.873;39.22;1716220605.1;1;2.85
24.0;45.05;1.875;80.93;1716220623.57;1;1.37
25.0;65.96;1.874;75.99;1716220638.99;1;1.03
24.0;-1.43;1.872;98.85;1716220661.64;1;1.87
23.0;-128.92;1.872;186.65;1716220692.85;1;3.0
23.0;169.68;1.875;169.68;1716220707.24;1;1.03
22.0;-256.0;1.873;141.3;1716220746.05;1;3.0
21.0;-16.49;1.875;73.08;1716220770.6;1;2.16
21.0;-63.2;1.876;333.61;1716220810.4;1;3.0
22.0;77.74;1.878;109.33;1716220826.84;1;1.18
22.0;127.08;1.877;182.07;1716220852.95;1;2.44
22.0;-687.78;1.878;245.86;1716220898.4;1;3.0
23.0;51.91;1.88;56.69;1716220914.81;1;1.18
