amount_of_players;round_result;MO;bank;real_x
25;23.96;2.005;59.6;3.0
25;-314.35;2.015;149.84;2.52
21;-36.0;2.019;81.2;1.03
24;47.83;2.01;47.83;1.0
24;144.73;2.0;144.73;1.63
25;35.79;1.996;76.83;3.0
22;-88.19;2.006;81.73;1.65
23;42.57;2.002;80.46;1.08
22;67.79;1.994;85.49;2.54
26;-42.15;1.998;111.02;3.0
25;-194.96;2.007;194.18;1.43
25;19.32;2.002;46.61;2.13
23;4.72;2.003;108.75;1.07
21;168.85;1.995;171.43;1.04
23;354.17;1.986;354.17;2.66
22;-13.86;1.992;59.64;2.52
23;-160.97;1.997;189.37;3.0
23;-21.5;2.005;40.63;2.43
22;37.33;2.008;83.68;1.36
23;46.84;2.003;68.58;1.0
25;72.31;1.995;72.31;1.02
26;232.78;1.987;232.78;1.21
28;355.71;1.98;398.33;1.31
25;112.44;1.975;271.56;1.0
28;311.78;1.967;311.78;3.0
28;-760.39;1.975;559.78;1.59
25;106.59;1.972;146.05;1.47
21;43.47;1.969;77.19;3.0
25;-31.48;1.977;65.53;3.0
22;-257.31;1.985;125.07;3.0
22;-55.55;1.992;58.42;1.0
18;366.11;1.985;366.11;2.51
21;-154.18;1.989;220.56;1.77
25;212.6;1.987;301.02;1.36
24;259.57;1.983;268.66;1.01
24;153.75;1.976;153.75;1.36
24;98.23;1.972;100.81;3.0
21;-55.6;1.979;105.36;1.11
24;69.26;1.973;77.68;2.68
24;-57.39;1.978;246.23;2.84
22;-8.85;1.984;74.67;1.08
25;74.48;1.977;75.23;3.0
24;-18.98;1.985;82.69;1.03
27;362.31;1.978;368.92;3.0
27;-151.53;1.985;386.95;1.0
27;102.76;1.978;102.76;1.68
27;56.51;1.976;83.46;1.1
25;39.6;1.97;81.27;1.95
25;24.11;1.97;52.49;3.0
25;-740.73;1.977;323.18;3.0
21;-102.44;1.983;79.6;3.0
24;-120.01;1.99;76.51;1.0
21;69.13;1.984;69.13;1.0
22;57.67;1.977;57.67;1.39
22;63.2;1.974;83.04;3.0
26;-535.86;1.98;224.5;3.0
23;-40.81;1.987;133.56;1.05
22;136.8;1.981;136.8;1.17
23;124.96;1.976;171.1;1.04
21;81.02;1.97;81.02;1.0
22;49.24;1.964;49.24;1.05
24;29.71;1.959;35.37;1.04
25;93.32;1.953;93.32;1.58
24;22.71;1.951;57.17;1.31
24;252.34;1.947;257.06;3.0
25;-82.23;1.953;155.03;1.27
24;23.6;1.949;54.53;1.01
24;82.17;1.943;82.17;1.0
27;320.27;1.938;320.27;1.79
25;8.98;1.937;143.19;3.0
25;-143.2;1.943;169.15;3.0
25;-127.78;1.949;78.58;1.24
22;665.74;1.945;667.51;1.0
24;54.4;1.94;54.4;3.0
26;22.19;1.946;156.93;1.12
23;196.58;1.941;208.95;1.12
25;386.78;1.936;404.67;1.08
27;122.37;1.931;127.54;1.03
26;86.56;1.926;86.56;2.09
23;-131.44;1.927;412.2;1.09
22;125.42;1.923;140.99;1.0
26;90.0;1.918;90.0;1.53
26;117.52;1.915;276.57;1.0
22;72.89;1.91;72.89;3.0
23;-60.44;1.916;106.19;1.07
21;59.43;1.912;60.13;3.0
21;-297.51;1.918;166.16;1.48
21;254.95;1.915;260.38;1.36
19;104.66;1.913;127.33;3.0
22;25.9;1.918;116.3;1.02
23;111.53;1.914;112.47;1.97
23;-2.72;1.914;243.86;3.0
21;-99.29;1.92;205.94;1.4
23;60.79;1.917;77.03;3.0
23;-31.79;1.923;54.54;1.01
24;205.45;1.918;205.45;3.0
24;-232.28;1.923;142.19;3.0
25;-54.62;1.929;59.77;1.01
25;116.71;1.924;116.71;1.09
23;137.53;1.92;140.14;1.32
22;236.01;1.917;246.66;3.0
23;-40.27;1.922;81.26;1.0
21;139.33;1.918;139.33;1.02
23;279.57;1.913;279.57;1.03
21;50.47;1.909;50.47;1.09
21;94.38;1.905;97.39;1.41
25;75.84;1.902;82.1;3.0
24;-175.49;1.908;97.8;3.0
24;-22.85;1.913;79.1;3.0
23;-339.65;1.918;453.58;1.33
20;48.06;1.915;58.63;1.09
21;265.75;1.911;340.85;1.0
24;67.42;1.907;67.42;3.0
21;-86.88;1.912;47.51;3.0
24;117.64;1.917;227.5;2.82
24;-77.5;1.921;145.78;1.47
23;39.87;1.919;73.14;3.0
23;-22.08;1.924;78.71;2.12
21;42.51;1.925;85.88;1.02
24;91.12;1.921;91.12;1.91
